age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
30,Private,129707,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,35,United-States,>50K,900,3891210,390,2999970,0,1050,-355963335,1686191,85668405,0,4539745,169,1299987,0,455,1409865409,0,3499965,0,0,1225,,,
33,Private,236379,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K,1089,7800507,429,0,0,1485,40456793,3072927,0,0,10637055,169,0,0,585,0,0,0,0,0,2025,,,
40,Private,198873,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,30,United-States,>50K,1600,7954920,600,600960,0,1200,895764465,2983095,-1307099344,0,5966190,225,225360,0,450,225720576,0,450720,0,0,900,,,
32,Private,226696,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,1024,7254272,416,0,0,1760,-148531136,2947048,0,0,12468280,169,0,0,715,0,0,0,0,0,3025,Never-married,47.35,41.81
44,Private,216411,Assoc-voc,11,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,Dominican-Republic,<=50K,1936,9522084,484,0,0,1760,-410919335,2380521,0,0,8656440,121,0,0,440,0,0,0,0,0,1600,,,
50,Self-emp-inc,140516,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,2500,7025800,650,0,0,2000,-1730090224,1826708,0,0,5620640,169,0,0,520,0,0,0,0,0,1600,,,
45,Private,111979,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,2025,5039055,405,0,0,1800,-345605447,1007811,0,0,4479160,81,0,0,360,0,0,0,0,0,1600,,,
43,State-gov,28451,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,>50K,1849,1223393,559,0,0,1591,809459401,369863,0,0,1052687,169,0,0,481,0,0,0,0,0,1369,,,
44,Private,169980,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,60,United-States,<=50K,1936,7479120,308,0,0,2640,-1171570672,1189860,0,0,10198800,49,0,0,420,0,0,0,0,0,3600,,,
47,Private,135803,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,25,Philippines,<=50K,2209,6382741,423,0,0,1175,1262585625,1222227,0,0,3395075,81,0,0,225,0,0,0,0,0,625,,,
31,Private,194293,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,2463,0,38,United-States,<=50K,961,6023083,310,76353,0,1178,-904935815,1942930,478543659,0,7383134,100,24630,0,380,6066369,0,93594,0,0,1444,Never-married,47.35,41.81
34,Private,136862,1st-4th,2,Never-married,Other-service,Other-relative,White,Female,0,0,40,Guatemala,<=50K,1156,4653308,68,0,0,1360,1551337860,273724,0,0,5474480,4,0,0,80,0,0,0,0,0,1600,Never-married,47.35,41.81
49,Self-emp-not-inc,99335,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,2401,4867415,490,0,0,2450,1277507633,993350,0,0,4966750,100,0,0,500,0,0,0,0,0,2500,,,
46,Private,202560,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,2116,9317760,414,0,0,1840,-1919119360,1823040,0,0,8102400,81,0,0,360,0,0,0,0,0,1600,,,
48,Local-gov,189762,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,2304,9108576,432,0,0,1920,1649878276,1707858,0,0,7590480,81,0,0,360,0,0,0,0,0,1600,,,
40,Private,149102,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,2174,0,60,Poland,<=50K,1600,5964080,360,86960,0,2400,756569924,1341918,324147748,0,8946120,81,19566,0,540,4726276,0,130440,0,0,3600,,,
